-DOCSTART-	_	_	O

A	a	DET	O
hotel	hotel	NOUN	O
employs	employ	VERB	O
cleaners	cleaner	NOUN	B-VAR
and	and	CCONJ	O
receptionists	receptionist	NOUN	B-VAR
.	.	PUNCT	O
Cleaners	cleaner	NOUN	B-VAR
earn	earn	VERB	B-OBJ_NAME
$	$	SYM	O
500	500	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
and	and	CCONJ	O
receptionists	receptionist	NOUN	B-VAR
earn	earn	VERB	B-OBJ_NAME
$	$	SYM	O
350	350	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
.	.	PUNCT	O
The	the	DET	O
hotel	hotel	NOUN	O
requires	require	VERB	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
100	100	NUM	B-LIMIT
workers	worker	NOUN	O
of	of	ADP	O
whom	whom	PRON	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
must	must	AUX	O
be	be	VERB	O
receptionists	receptionist	NOUN	B-VAR
.	.	PUNCT	O
To	to	PART	O
keep	keep	VERB	O
the	the	DET	O
hotel	hotel	NOUN	O
clean	clean	ADJ	O
and	and	CCONJ	O
running	run	VERB	O
smoothly	smoothly	ADV	O
,	,	PUNCT	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
receptionists	receptionist	NOUN	B-VAR
should	should	AUX	O
be	be	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADJ	I-CONST_DIR
a	a	DET	O
third	third	NOUN	B-PARAM
of	of	ADP	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
cleaners	cleaner	NOUN	B-VAR
.	.	PUNCT	O
The	the	DET	O
hotel	hotel	NOUN	O
wants	want	VERB	O
to	to	PART	O
keep	keep	VERB	O
the	the	DET	O
weekly	weekly	ADJ	O
wage	wage	NOUN	O
bill	bill	NOUN	O
below	below	ADP	B-CONST_DIR
$	$	SYM	O
30000	30000	NUM	B-LIMIT
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
the	the	DET	O
wage	wage	NOUN	B-OBJ_NAME
bill	bill	NOUN	I-OBJ_NAME
.	.	PUNCT	O

A	a	DET	O
retired	retired	ADJ	O
professor	professor	NOUN	O
wants	want	VERB	O
to	to	PART	O
invest	invest	VERB	O
up	up	ADP	B-CONST_DIR
to	to	PART	I-CONST_DIR
$	$	SYM	O
50000	50000	NUM	B-LIMIT
in	in	ADP	O
the	the	DET	O
airline	airline	NOUN	B-VAR
and	and	CCONJ	O
railway	railway	NOUN	B-VAR
industries	industry	NOUN	I-VAR
.	.	PUNCT	O
Each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
airline	airline	NOUN	B-VAR
industry	industry	NOUN	I-VAR
yields	yield	VERB	O
a	a	DET	O
$	$	SYM	O
0.30	0.30	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
and	and	CCONJ	O
each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
railway	railway	NOUN	B-VAR
industry	industry	NOUN	I-VAR
yields	yield	VERB	O
a	a	DET	O
$	$	SYM	O
